,ADMIN0,ADMIN1,year,month,Retail
519,Ethiopia,Oromia,2018,5,1.0518810545211599
520,Ethiopia,Oromia,2018,6,1.1413623285761907
521,Ethiopia,Oromia,2018,7,0.8908098038301608
522,Ethiopia,Oromia,2018,8,0.44611407446484
525,Ethiopia,Oromia,2019,10,0.32057391993436185
526,Ethiopia,Oromia,2019,11,0.28231851055605084
527,Ethiopia,Oromia,2019,12,0.2420409780803235
532,Ethiopia,Oromia,2019,7,0.5116245481662786
533,Ethiopia,Oromia,2019,8,0.4764977647885133
534,Ethiopia,Oromia,2019,9,0.24777470673970392
535,Ethiopia,Oromia,2020,1,0.16138689019438218
536,Ethiopia,Oromia,2020,2,0.07085061420026362
537,Ethiopia,Oromia,2020,3,0.3289761601487823
538,Ethiopia,SNNPR,2010,1,-0.020315231886978757
539,Ethiopia,SNNPR,2010,10,-0.7876859078353391
540,Ethiopia,SNNPR,2010,11,-0.6719414207402382
541,Ethiopia,SNNPR,2010,12,-0.6860493718130174
542,Ethiopia,SNNPR,2010,2,-0.23663967632752098
543,Ethiopia,SNNPR,2010,3,-0.5004913120084019
544,Ethiopia,SNNPR,2010,4,-0.25916747081862856
545,Ethiopia,SNNPR,2010,5,-0.17301769357407387
546,Ethiopia,SNNPR,2010,6,-0.11369147979831187
547,Ethiopia,SNNPR,2010,7,-0.6094532053884416
548,Ethiopia,SNNPR,2010,8,-0.8656623415286383
549,Ethiopia,SNNPR,2010,9,-0.9319128182376202
550,Ethiopia,SNNPR,2011,1,-0.6579359027045524
551,Ethiopia,SNNPR,2011,10,1.8522516004623584
552,Ethiopia,SNNPR,2011,11,1.797649487645177
553,Ethiopia,SNNPR,2011,2,-0.44773439671134496
554,Ethiopia,SNNPR,2011,3,0.3317899299725601
555,Ethiopia,SNNPR,2011,4,1.5326128635509346
556,Ethiopia,SNNPR,2011,5,1.6024491850548028
557,Ethiopia,SNNPR,2011,6,1.8387908985625248
558,Ethiopia,SNNPR,2011,7,2.3539730897443962
559,Ethiopia,SNNPR,2011,8,2.516930608162176
560,Ethiopia,SNNPR,2011,9,2.4050535718034944
561,Ethiopia,SNNPR,2012,1,0.7855930398092039
562,Ethiopia,SNNPR,2012,10,0.14082323664994154
563,Ethiopia,SNNPR,2012,11,-0.18560453307199806
564,Ethiopia,SNNPR,2012,12,-0.1822528670143626
565,Ethiopia,SNNPR,2012,2,0.8418738879251679
566,Ethiopia,SNNPR,2012,3,0.7559114177431769
567,Ethiopia,SNNPR,2012,4,1.0424008294450111
568,Ethiopia,SNNPR,2012,5,1.0913516320012566
569,Ethiopia,SNNPR,2012,6,1.093913313594774
570,Ethiopia,SNNPR,2012,7,1.169129521658196
571,Ethiopia,SNNPR,2012,8,0.958317994529793
572,Ethiopia,SNNPR,2012,9,0.7749454952784718
573,Ethiopia,SNNPR,2013,1,-0.10723678867378053
574,Ethiopia,SNNPR,2013,10,0.9740418368500645
575,Ethiopia,SNNPR,2013,11,0.42181980846853
576,Ethiopia,SNNPR,2013,12,0.13982006939355368
577,Ethiopia,SNNPR,2013,2,-0.13231499360842155
578,Ethiopia,SNNPR,2013,3,0.16010811640085348
579,Ethiopia,SNNPR,2013,4,0.3083521972053064
580,Ethiopia,SNNPR,2013,5,0.50292500357426
581,Ethiopia,SNNPR,2013,6,0.5977425926550274
582,Ethiopia,SNNPR,2013,7,0.7407346764763041
583,Ethiopia,SNNPR,2013,8,0.734488502053143
584,Ethiopia,SNNPR,2013,9,1.0205019575265375
585,Ethiopia,SNNPR,2014,1,0.022859877949546838
586,Ethiopia,SNNPR,2014,10,0.4128179313167256
587,Ethiopia,SNNPR,2014,11,0.3429443614404431
588,Ethiopia,SNNPR,2014,12,-0.3225644834043412
589,Ethiopia,SNNPR,2014,2,0.09339756232188692
590,Ethiopia,SNNPR,2014,3,0.24484233398127936
591,Ethiopia,SNNPR,2014,4,0.2321279629955495
592,Ethiopia,SNNPR,2014,5,0.31179217785299157
593,Ethiopia,SNNPR,2014,6,0.4950426695915405
594,Ethiopia,SNNPR,2014,7,0.5812773451644339
595,Ethiopia,SNNPR,2014,8,0.6634497316336507
596,Ethiopia,SNNPR,2014,9,1.1548122983448277
597,Ethiopia,SNNPR,2015,1,0.32016024156384304
598,Ethiopia,SNNPR,2015,11,-0.37520276366943145
599,Ethiopia,SNNPR,2015,12,-0.4599818535407344
600,Ethiopia,SNNPR,2015,2,0.022921171312483668
601,Ethiopia,SNNPR,2015,3,0.5385880063276067
602,Ethiopia,SNNPR,2015,4,0.15544579551398996
603,Ethiopia,SNNPR,2015,5,0.3551480537601871
604,Ethiopia,SNNPR,2015,6,0.606557674439789
605,Ethiopia,SNNPR,2015,7,0.8170239549709648
606,Ethiopia,SNNPR,2015,8,1.1541923757355308
607,Ethiopia,SNNPR,2015,9,0.7754097075742227
608,Ethiopia,SNNPR,2016,1,-0.16181556170756628
609,Ethiopia,SNNPR,2016,2,-0.1823340024541315
610,Ethiopia,SNNPR,2016,3,-0.15365618714656237
611,Ethiopia,SNNPR,2016,4,0.13148731465725755
612,Ethiopia,SNNPR,2016,5,-0.022570398436665695
613,Ethiopia,SNNPR,2016,6,0.2816612552906671
614,Ethiopia,SNNPR,2016,7,-0.023456633475837773
615,Ethiopia,SNNPR,2016,8,0.5219328309521369
616,Ethiopia,SNNPR,2016,9,-0.02458936615595706
617,Ethiopia,Somali,2010,1,0.06617359030169641
618,Ethiopia,Somali,2010,10,0.027922310226935216
619,Ethiopia,Somali,2010,11,0.39768727501406964
620,Ethiopia,Somali,2010,12,1.0643980564770787
621,Ethiopia,Somali,2010,2,0.13424591769860264
622,Ethiopia,Somali,2010,3,0.20794025628718632
623,Ethiopia,Somali,2010,4,0.18208356233306042
624,Ethiopia,Somali,2010,5,-0.26882778091655246
625,Ethiopia,Somali,2010,6,-0.27297693590724
626,Ethiopia,Somali,2010,7,-0.25551918610527957
627,Ethiopia,Somali,2010,8,0.12048783490041465
628,Ethiopia,Somali,2010,9,-0.0817057611625876
629,Ethiopia,Somali,2011,1,1.1222725491361065
630,Ethiopia,Somali,2011,10,2.2854411772792496
631,Ethiopia,Somali,2011,11,2.0856127316329722
632,Ethiopia,Somali,2011,2,1.931928774046556
633,Ethiopia,Somali,2011,3,1.3583863021360625
634,Ethiopia,Somali,2011,4,1.4985626706729183
635,Ethiopia,Somali,2011,5,1.1912532035051946
636,Ethiopia,Somali,2011,6,2.3461656522772456
637,Ethiopia,Somali,2011,7,2.790994375054442
638,Ethiopia,Somali,2011,8,2.156150461339014
639,Ethiopia,Somali,2011,9,2.022744036377611
640,Ethiopia,Somali,2012,1,2.116556718076561
641,Ethiopia,Somali,2012,10,0.7515861706713982
642,Ethiopia,Somali,2012,11,0.9557386451421925
643,Ethiopia,Somali,2012,12,1.0780652254393028
644,Ethiopia,Somali,2012,2,2.183383332140242
645,Ethiopia,Somali,2012,3,1.1777169064061865
646,Ethiopia,Somali,2012,4,0.8518936616904442
647,Ethiopia,Somali,2012,5,0.8562176528111286
648,Ethiopia,Somali,2012,6,0.8323954746075011
649,Ethiopia,Somali,2012,7,0.9717949241256305
650,Ethiopia,Somali,2012,8,1.3043715918669834
651,Ethiopia,Somali,2012,9,0.6005561692304756
652,Ethiopia,Somali,2013,1,1.3262320260911347
653,Ethiopia,Somali,2013,10,1.9781611414687341
654,Ethiopia,Somali,2013,11,1.6160848724033066
655,Ethiopia,Somali,2013,12,2.193679571630418
656,Ethiopia,Somali,2013,2,1.0377093301425375
657,Ethiopia,Somali,2013,3,1.1043386007480704
658,Ethiopia,Somali,2013,5,1.26399845113544
659,Ethiopia,Somali,2013,6,1.2300461115423442
660,Ethiopia,Somali,2013,7,1.0276206818808653
661,Ethiopia,Somali,2013,8,1.2016126296174514
662,Ethiopia,Somali,2013,9,1.0135973932899012
663,Ethiopia,Somali,2014,1,2.1835270812728362
664,Ethiopia,Somali,2014,10,2.670758870131749
665,Ethiopia,Somali,2014,11,2.485333163883009
666,Ethiopia,Somali,2014,12,1.264262210680159
667,Ethiopia,Somali,2014,2,2.2118305912052327
668,Ethiopia,Somali,2014,3,2.2996848182149296
669,Ethiopia,Somali,2014,4,2.1080848977726534
