,ADMIN0,ADMIN1,year,month,Retail,Wholesale
282,Ethiopia,Dire Dawa,2010,6,0.3217735237344432,0.25019675454476703
283,Ethiopia,Dire Dawa,2010,7,0.3189382344715604,0.25166174087088883
284,Ethiopia,Dire Dawa,2010,8,0.30763751943445733,0.2567727984059317
285,Ethiopia,Dire Dawa,2010,9,0.3299428634290727,0.20306830078939422
286,Ethiopia,Dire Dawa,2011,1,0.20099415056923678,0.17184861001422572
287,Ethiopia,Dire Dawa,2011,10,0.9326397911665939,0.720587143417457
288,Ethiopia,Dire Dawa,2011,11,0.9027785222088149,0.7903683129585044
289,Ethiopia,Dire Dawa,2011,12,,0.6580467390578811
290,Ethiopia,Dire Dawa,2011,2,0.20130916450170602,0.13413810385015368
291,Ethiopia,Dire Dawa,2011,3,0.2304216246094688,0.2080943362247374
292,Ethiopia,Dire Dawa,2011,4,0.626234409394739,0.3665105341061741
293,Ethiopia,Dire Dawa,2011,5,0.731002123698748,0.5342667371425555
294,Ethiopia,Dire Dawa,2011,6,0.7621309547365732,0.4989253869841325
295,Ethiopia,Dire Dawa,2011,7,0.8093062217407813,0.5154094762585394
296,Ethiopia,Dire Dawa,2011,8,0.7931676393294652,0.6725038817157746
297,Ethiopia,Dire Dawa,2011,9,0.9676378065888264,0.8388521149109609
298,Ethiopia,Dire Dawa,2012,1,0.5517448932519697,0.4044410280098297
299,Ethiopia,Dire Dawa,2012,10,0.6940183870170588,0.562038843741422
300,Ethiopia,Dire Dawa,2012,11,0.7052330395796257,0.5411126949765074
301,Ethiopia,Dire Dawa,2012,12,0.6826256568411324,0.512051524044836
302,Ethiopia,Dire Dawa,2012,2,0.4618313773331466,0.39493704831930243
303,Ethiopia,Dire Dawa,2012,3,0.6566035109580354,0.5028390920986802
304,Ethiopia,Dire Dawa,2012,4,0.8005997465960714,0.47492430845071
305,Ethiopia,Dire Dawa,2012,5,1.132570863517808,0.46627032657231043
306,Ethiopia,Dire Dawa,2012,6,0.8404551528479831,0.5337199822399191
307,Ethiopia,Dire Dawa,2012,7,0.9134789049824278,0.4903430576155119
308,Ethiopia,Dire Dawa,2012,8,0.8166447374254671,0.5614841237239341
309,Ethiopia,Dire Dawa,2012,9,0.7871843149907618,0.5843598555114649
310,Ethiopia,Dire Dawa,2013,1,0.7158915461483724,0.4462842488684519
