,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
171,Somalia,Galgaduud,2015,4,3,1,1,0,1,13.0,0.0,0.0,0.0,3.0
172,Somalia,Galgaduud,2015,3,4,0,0,0,3,2.0,0.0,0.0,0.0,2.0
173,Somalia,Galgaduud,2015,2,5,0,0,0,0,31.0,0.0,0.0,0.0,0.0
174,Somalia,Galgaduud,2015,1,3,2,1,0,0,1.0,0.0,1.0,0.0,0.0
175,Somalia,Galgaduud,2014,12,5,1,0,0,3,18.0,0.0,0.0,0.0,3.0
176,Somalia,Galgaduud,2014,11,10,0,0,0,1,22.0,0.0,0.0,0.0,1.0
177,Somalia,Galgaduud,2014,10,10,0,0,0,1,12.0,0.0,0.0,0.0,0.0
178,Somalia,Galgaduud,2014,9,6,0,0,0,1,10.0,0.0,0.0,0.0,2.0
179,Somalia,Galgaduud,2014,8,2,0,0,0,0,5.0,0.0,0.0,0.0,0.0
180,Somalia,Galgaduud,2014,7,6,0,0,0,2,19.0,0.0,0.0,0.0,3.0
181,Somalia,Galgaduud,2014,6,8,0,0,0,2,40.0,0.0,0.0,0.0,0.0
182,Somalia,Galgaduud,2014,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
183,Somalia,Galgaduud,2014,4,6,0,0,3,0,23.0,0.0,0.0,8.0,0.0
184,Somalia,Galgaduud,2014,3,3,0,0,0,0,17.0,0.0,0.0,0.0,0.0
185,Somalia,Galgaduud,2014,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
186,Somalia,Galgaduud,2014,1,0,0,0,1,3,0.0,0.0,0.0,0.0,3.0
187,Somalia,Galgaduud,2013,12,3,0,0,0,5,2.0,0.0,0.0,0.0,7.0
188,Somalia,Galgaduud,2013,11,2,0,0,1,0,8.0,0.0,0.0,0.0,0.0
189,Somalia,Galgaduud,2013,10,0,2,0,0,2,0.0,0.0,0.0,0.0,2.0
190,Somalia,Galgaduud,2013,9,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
191,Somalia,Galgaduud,2013,8,11,0,0,0,3,11.0,0.0,0.0,0.0,2.0
192,Somalia,Galgaduud,2013,7,1,1,1,0,0,1.0,1.0,0.0,0.0,0.0
193,Somalia,Galgaduud,2013,6,2,0,0,0,1,2.0,0.0,0.0,0.0,1.0
194,Somalia,Galgaduud,2013,5,2,1,0,0,3,1.0,0.0,0.0,0.0,3.0
195,Somalia,Galgaduud,2013,4,0,1,0,0,3,0.0,0.0,0.0,0.0,3.0
196,Somalia,Galgaduud,2013,3,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
197,Somalia,Galgaduud,2013,2,0,0,0,0,3,0.0,0.0,0.0,0.0,4.0
198,Somalia,Galgaduud,2013,1,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0
199,Somalia,Galgaduud,2012,12,2,0,0,0,5,24.0,0.0,0.0,0.0,7.0
