,ADMIN0,ADMIN1,month,year,CS,tmin_mm,tmax_mm,tavg_mm,prcp_mm,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal,Retail,pop
101,Ethiopia,Amhara,10.0,2019.0,2.0,115.71428571428572,257.85,212.88392857142856,108.78571428571429,3.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,23913000.0
102,Ethiopia,Amhara,10.0,2017.0,2.0,132.83333333333331,261.8,220.5,53.45454545454545,,,,,,,,,,,,23913000.0
103,Ethiopia,Amhara,7.0,2009.0,2.0,147.83333333333331,274.3636363636364,205.8129411764706,97.65073529411765,,,,,,,,,,,,19946000.0
104,Ethiopia,Amhara,7.0,2010.0,2.0,150.10333333333332,283.82142857142856,202.21825396825398,112.92857142857143,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.6052666413504106,20480000.0
105,Ethiopia,Amhara,7.0,2012.0,2.25,156.85714285714286,285.3636363636364,227.21052631578948,84.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0538590151199596,21587000.0
106,Ethiopia,Amhara,10.0,2011.0,2.0,81.0,258.6,187.1875,,,,,,,,,,,,1.4363468825068115,21027000.0
107,Ethiopia,Amhara,4.0,2014.0,2.0,150.54112554112555,287.59090909090907,231.23454545454547,31.554545454545455,,,,,,,,,,,0.5156224176671355,22737000.0
108,Ethiopia,Amhara,7.0,2011.0,2.0,155.89285714285714,290.0,217.96428571428572,27.15,,,,,,,,,,,1.2986257794486489,21027000.0
109,Ethiopia,Amhara,7.0,2013.0,2.0,150.22800925925924,282.42857142857144,205.76862745098038,106.71798029556649,2.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,1.2940990693879402,22158000.0
110,Ethiopia,Amhara,1.0,2012.0,2.0,108.0,264.125,214.1818181818182,1.5,,,,,,,,,,,0.879379855226462,21587000.0
111,Ethiopia,Amhara,4.0,2012.0,2.0,148.30555555555554,267.05263157894734,237.60714285714283,62.166666666666664,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1404229913880215,21587000.0
112,Ethiopia,Dire Dawa,6.0,2019.0,2.5,,,,,,,,,,,,,,,,475000.0
