,country,admin1,month,year,CS,pop
190,Ethiopia,Harari,10.0,2018,2.5,255000.0
191,Ethiopia,Harari,1.0,2011,2.5,224000.0
192,Ethiopia,Harari,6.0,2017,2.3333333333333335,255000.0
193,Ethiopia,Harari,10.0,2010,2.0,218000.0
194,Ethiopia,Harari,4.0,2011,2.5,224000.0
195,Ethiopia,Harari,4.0,2010,3.5,218000.0
196,Ethiopia,Harari,2.0,2019,1.6666666666666667,255000.0
197,Ethiopia,Harari,2.0,2018,1.5,255000.0
198,Ethiopia,Harari,4.0,2015,1.5,248000.0
199,Ethiopia,Harari,6.0,2018,2.5,255000.0
200,Ethiopia,Harari,7.0,2015,2.0,248000.0
201,Ethiopia,Harari,10.0,2016,2.0,255000.0
202,Ethiopia,Harari,4.0,2013,3.0,236000.0
203,Ethiopia,Harari,10.0,2019,2.5,255000.0
204,Ethiopia,Harari,7.0,2009,2.5,212000.0
205,Ethiopia,Harari,10.0,2012,2.5,230000.0
206,Ethiopia,Harari,7.0,2010,2.0,218000.0
207,Ethiopia,Harari,1.0,2013,3.0,236000.0
208,Ethiopia,Harari,7.0,2012,3.0,230000.0
209,Ethiopia,Harari,10.0,2017,2.0,255000.0
210,Ethiopia,Harari,10.0,2013,2.0,236000.0
211,Ethiopia,Harari,4.0,2014,2.0,242000.0
212,Ethiopia,Harari,7.0,2011,3.0,224000.0
213,Ethiopia,Harari,10.0,2015,3.0,248000.0
214,Ethiopia,Harari,7.0,2013,2.5,236000.0
215,Ethiopia,Harari,1.0,2012,2.0,230000.0
216,Ethiopia,Harari,10.0,2011,2.0,224000.0
217,Ethiopia,Harari,4.0,2012,2.0,230000.0
218,Ethiopia,Harari,1.0,2014,1.0,242000.0
219,Ethiopia,Harari,1.0,2015,1.0,248000.0
220,Ethiopia,Harari,10.0,2014,1.0,242000.0
221,Ethiopia,Harari,7.0,2014,2.0,242000.0
222,Ethiopia,Harari,6.0,2016,3.0,255000.0
223,Ethiopia,Oromia,2.0,2018,2.5,37489000.0
224,Ethiopia,Oromia,2.0,2016,2.2857142857142856,37489000.0
225,Ethiopia,Oromia,6.0,2019,2.5,37489000.0
226,Ethiopia,Oromia,2.0,2019,1.8,37489000.0
227,Ethiopia,Oromia,10.0,2015,2.5,36562000.0
228,Ethiopia,Oromia,10.0,2010,2.0,32107000.0
229,Ethiopia,Oromia,7.0,2014,1.8,35645000.0
230,Ethiopia,Oromia,10.0,2009,2.5,31270000.0
231,Ethiopia,Oromia,7.0,2009,2.5,31270000.0
232,Ethiopia,Oromia,1.0,2010,2.0,32107000.0
233,Ethiopia,Oromia,10.0,2011,2.5,32965000.0
234,Ethiopia,Oromia,4.0,2011,2.5,32965000.0
235,Ethiopia,Oromia,7.0,2011,2.5,32965000.0
236,Ethiopia,Oromia,1.0,2012,2.5,33843000.0
237,Ethiopia,Oromia,1.0,2013,2.0,34737000.0
238,Ethiopia,Oromia,4.0,2013,2.2,34737000.0
239,Ethiopia,Oromia,10.0,2018,2.0,37489000.0
240,Ethiopia,Oromia,6.0,2016,2.0,37489000.0
241,Ethiopia,Oromia,1.0,2011,2.0,32965000.0
242,Ethiopia,Oromia,10.0,2012,2.0,33843000.0
243,Ethiopia,Oromia,6.0,2017,2.0,37489000.0
244,Ethiopia,Oromia,4.0,2010,2.5,32107000.0
245,Ethiopia,Oromia,10.0,2014,1.8,35645000.0
246,Ethiopia,Oromia,1.0,2015,2.0,36562000.0
247,Ethiopia,Oromia,4.0,2015,2.0,36562000.0
248,Ethiopia,Oromia,12.0,2018,2.0,37489000.0
249,Ethiopia,Oromia,6.0,2018,2.2,37489000.0
250,Ethiopia,Oromia,7.0,2015,2.2,36562000.0
251,Ethiopia,Oromia,10.0,2016,1.8,37489000.0
252,Ethiopia,Oromia,10.0,2017,2.2,37489000.0
253,Ethiopia,Oromia,10.0,2019,2.5,37489000.0
254,Ethiopia,Oromia,7.0,2010,2.0,32107000.0
255,Ethiopia,Oromia,7.0,2012,2.2,33843000.0
256,Ethiopia,Oromia,4.0,2012,2.0,33843000.0
257,Ethiopia,Oromia,10.0,2013,1.5,34737000.0
258,Ethiopia,Oromia,1.0,2014,1.5,35645000.0
259,Ethiopia,Oromia,4.0,2014,2.0,35645000.0
260,Ethiopia,Oromia,7.0,2013,2.0,34737000.0
261,Ethiopia,Somali,2.0,2018,2.0,6299000.0
262,Ethiopia,Somali,2.0,2016,2.2857142857142856,6299000.0
263,Ethiopia,Somali,6.0,2019,2.5,6299000.0
264,Ethiopia,Somali,2.0,2019,2.0,6299000.0
265,Ethiopia,Somali,10.0,2015,3.0,6143000.0
266,Ethiopia,Somali,10.0,2010,3.0,5395000.0
267,Ethiopia,Somali,10.0,2011,3.5,5539000.0
268,Ethiopia,Somali,7.0,2011,3.5,5539000.0
269,Ethiopia,Somali,10.0,2009,2.5,5254000.0
270,Ethiopia,Somali,7.0,2009,2.5,5254000.0
271,Ethiopia,Somali,1.0,2010,2.5,5395000.0
272,Ethiopia,Somali,1.0,2011,3.0,5539000.0
273,Ethiopia,Somali,4.0,2011,3.0,5539000.0
274,Ethiopia,Somali,1.0,2012,3.0,5686000.0
275,Ethiopia,Somali,4.0,2012,2.5,5686000.0
276,Ethiopia,Somali,1.0,2013,2.3333333333333335,5837000.0
277,Ethiopia,Somali,4.0,2013,2.5,5837000.0
278,Ethiopia,Somali,10.0,2018,2.25,6299000.0
279,Ethiopia,Somali,6.0,2016,2.0,6299000.0
280,Ethiopia,Somali,7.0,2010,3.0,5395000.0
281,Ethiopia,Somali,10.0,2012,2.2,5686000.0
282,Ethiopia,Somali,6.0,2017,2.5714285714285716,6299000.0
283,Ethiopia,Somali,4.0,2010,3.0,5395000.0
284,Ethiopia,Somali,7.0,2014,2.5,5989000.0
285,Ethiopia,Somali,10.0,2014,1.8,5989000.0
286,Ethiopia,Somali,1.0,2015,1.8,6143000.0
287,Ethiopia,Somali,4.0,2015,2.0,6143000.0
288,Ethiopia,Somali,12.0,2018,2.0,6299000.0
289,Ethiopia,Somali,6.0,2018,2.0,6299000.0
290,Ethiopia,Somali,10.0,2013,2.3333333333333335,5837000.0
291,Ethiopia,Somali,7.0,2015,2.2,6143000.0
292,Ethiopia,Somali,10.0,2016,2.0,6299000.0
293,Ethiopia,Somali,10.0,2017,2.5,6299000.0
294,Ethiopia,Somali,10.0,2019,2.2,6299000.0
295,Ethiopia,Somali,7.0,2012,2.5,5686000.0
296,Ethiopia,Somali,1.0,2014,1.6666666666666667,5989000.0
297,Ethiopia,Somali,4.0,2014,2.0,5989000.0
298,Ethiopia,Somali,7.0,2013,2.3333333333333335,5837000.0
299,Ethiopia,Tigray,2.0,2016,2.2,5994000.0
300,Ethiopia,Tigray,6.0,2019,2.0,5994000.0
301,Ethiopia,Tigray,2.0,2019,1.75,5994000.0
302,Ethiopia,Tigray,10.0,2010,2.0,5134000.0
303,Ethiopia,Tigray,1.0,2010,2.0,5134000.0
304,Ethiopia,Tigray,10.0,2009,2.0,5000000.0
305,Ethiopia,Tigray,1.0,2013,2.0,5554000.0
306,Ethiopia,Tigray,10.0,2018,2.0,5994000.0
307,Ethiopia,Tigray,1.0,2011,2.0,5271000.0
308,Ethiopia,Tigray,10.0,2012,2.25,5411000.0
309,Ethiopia,Tigray,6.0,2017,2.0,5994000.0
310,Ethiopia,Tigray,4.0,2011,2.0,5271000.0
311,Ethiopia,Tigray,1.0,2014,2.0,5699000.0
312,Ethiopia,Tigray,4.0,2010,2.5,5134000.0
313,Ethiopia,Tigray,7.0,2014,2.0,5699000.0
314,Ethiopia,Tigray,10.0,2014,1.5,5699000.0
315,Ethiopia,Tigray,2.0,2018,1.5,5994000.0
316,Ethiopia,Tigray,1.0,2015,2.0,5846000.0
317,Ethiopia,Tigray,4.0,2015,2.0,5846000.0
318,Ethiopia,Tigray,12.0,2018,2.0,5994000.0
319,Ethiopia,Tigray,6.0,2016,2.2,5994000.0
320,Ethiopia,Tigray,6.0,2018,1.6666666666666667,5994000.0
321,Ethiopia,Tigray,10.0,2013,2.0,5554000.0
322,Ethiopia,Tigray,7.0,2015,2.0,5846000.0
323,Ethiopia,Tigray,10.0,2016,1.5,5994000.0
324,Ethiopia,Tigray,10.0,2015,2.0,5846000.0
325,Ethiopia,Tigray,4.0,2013,2.25,5554000.0
326,Ethiopia,Tigray,10.0,2019,2.0,5994000.0
327,Ethiopia,Tigray,10.0,2017,2.0,5994000.0
328,Ethiopia,Tigray,7.0,2009,2.0,5000000.0
329,Ethiopia,Tigray,7.0,2010,2.0,5134000.0
330,Ethiopia,Tigray,7.0,2012,2.25,5411000.0
331,Ethiopia,Tigray,10.0,2011,2.0,5271000.0
332,Ethiopia,Tigray,4.0,2014,2.0,5699000.0
333,Ethiopia,Tigray,7.0,2011,2.0,5271000.0
334,Ethiopia,Tigray,7.0,2013,2.0,5554000.0
335,Ethiopia,Tigray,1.0,2012,2.0,5411000.0
336,Ethiopia,Tigray,4.0,2012,2.0,5411000.0
337,Ethiopia,SNNPR,2.0,2018,2.5,20730000.0
338,Ethiopia,SNNPR,2.0,2016,2.0,20730000.0
339,Ethiopia,SNNPR,6.0,2019,2.25,20730000.0
340,Ethiopia,SNNPR,2.0,2019,2.1666666666666665,20730000.0
341,Ethiopia,SNNPR,10.0,2010,2.0,17754000.0
342,Ethiopia,SNNPR,7.0,2014,1.8,19710000.0
343,Ethiopia,SNNPR,10.0,2009,2.5,17291000.0
344,Ethiopia,SNNPR,7.0,2009,2.5,17291000.0
345,Ethiopia,SNNPR,1.0,2010,2.0,17754000.0
346,Ethiopia,SNNPR,10.0,2011,2.5,18228000.0
347,Ethiopia,SNNPR,7.0,2011,2.5,18228000.0
348,Ethiopia,SNNPR,4.0,2012,2.25,18714000.0
349,Ethiopia,SNNPR,1.0,2013,2.0,19208000.0
350,Ethiopia,SNNPR,4.0,2013,2.2,19208000.0
351,Ethiopia,SNNPR,10.0,2018,2.6,20730000.0
352,Ethiopia,SNNPR,1.0,2011,2.0,18228000.0
353,Ethiopia,SNNPR,10.0,2012,2.0,18714000.0
354,Ethiopia,SNNPR,6.0,2017,2.0,20730000.0
355,Ethiopia,SNNPR,4.0,2011,2.0,18228000.0
356,Ethiopia,SNNPR,1.0,2014,2.0,19710000.0
357,Ethiopia,SNNPR,4.0,2010,2.0,17754000.0
358,Ethiopia,SNNPR,10.0,2014,1.8,19710000.0
359,Ethiopia,SNNPR,1.0,2015,1.6666666666666667,20218000.0
360,Ethiopia,SNNPR,4.0,2015,2.0,20218000.0
361,Ethiopia,SNNPR,12.0,2018,2.0,20730000.0
362,Ethiopia,SNNPR,6.0,2016,2.2,20730000.0
363,Ethiopia,SNNPR,6.0,2018,2.5,20730000.0
364,Ethiopia,SNNPR,10.0,2013,2.0,19208000.0
365,Ethiopia,SNNPR,7.0,2015,2.0,20218000.0
366,Ethiopia,SNNPR,10.0,2016,1.5,20730000.0
367,Ethiopia,SNNPR,10.0,2015,2.0,20218000.0
368,Ethiopia,SNNPR,10.0,2019,2.0,20730000.0
369,Ethiopia,SNNPR,10.0,2017,2.4,20730000.0
370,Ethiopia,SNNPR,7.0,2010,2.0,17754000.0
371,Ethiopia,SNNPR,7.0,2012,2.2,18714000.0
372,Ethiopia,SNNPR,4.0,2014,2.0,19710000.0
373,Ethiopia,SNNPR,7.0,2013,2.0,19208000.0
374,Ethiopia,SNNPR,1.0,2012,2.0,18714000.0
375,Ethiopia,Benshangul Gumuz,2.0,2016,1.6666666666666667,1089000.0
376,Ethiopia,Benshangul Gumuz,6.0,2019,2.6,1089000.0
377,Ethiopia,Benshangul Gumuz,2.0,2019,2.0,1089000.0
378,Ethiopia,Benshangul Gumuz,12.0,2018,2.3333333333333335,1089000.0
